player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,week,position
Cooper KuppLAR,5.6,66.5,0.6,0.2,1.1,0.0,0.1,10.3,LAR,1,WR
Keenan AllenLAC,6.5,68.8,0.6,0.2,0.9,0.0,0.1,10.2,LAC,1,WR
Robert WoodsLAR,5.4,61.8,0.5,1.1,6.3,0.0,0.1,10.1,LAR,1,WR
Marvin Jones Jr.JAC,4.3,60.1,0.6,0.0,0.0,0.0,0.0,9.6,JAC,1,WR
Laviska Shenault Jr.JAC,4.9,55.8,0.5,1.4,7.5,0.0,0.1,9.6,JAC,1,WR
Diontae JohnsonPIT,5.9,63.1,0.5,0.2,1.2,0.0,0.1,9.6,PIT,1,WR
Robby AndersonCAR,5.0,61.6,0.5,0.2,1.1,0.0,0.0,9.3,CAR,1,WR
Brandin CooksHOU,4.9,67.4,0.4,0.1,0.3,0.0,0.0,9.0,HOU,1,WR
Brandon AiyukSF,4.7,64.6,0.3,0.8,4.7,0.0,0.0,8.8,SF,1,WR
Allen Robinson IICHI,5.6,65.1,0.4,0.0,0.0,0.0,0.1,8.7,ICHI,1,WR
Kenny GolladayNYG,4.1,60.6,0.4,0.0,0.0,0.0,0.0,8.5,NYG,1,WR
Tyler BoydCIN,5.3,61.6,0.4,0.2,1.5,0.0,0.1,8.5,CIN,1,WR
Marquise BrownBAL,4.2,55.2,0.5,0.1,0.9,0.0,0.0,8.4,BAL,1,WR
Michael Pittman Jr.IND,4.4,55.3,0.4,0.2,1.2,0.0,0.0,8.3,IND,1,WR
Jakobi MeyersNE,4.6,59.0,0.4,0.1,0.2,0.0,0.0,8.3,NE,1,WR
Corey DavisNYJ,5.0,63.3,0.3,0.0,0.3,0.0,0.0,8.3,NYJ,1,WR
Jerry JeudyDEN,4.6,62.5,0.3,0.0,0.0,0.0,0.0,8.3,DEN,1,WR
D.J. Chark Jr.JAC,4.3,58.1,0.4,0.0,0.3,0.0,0.0,8.3,JAC,1,WR
DeVonta SmithPHI,4.2,59.7,0.4,0.1,0.7,0.0,0.0,8.1,PHI,1,WR
DeVante ParkerMIA,4.7,59.8,0.4,0.0,0.0,0.0,0.0,8.1,MIA,1,WR
Jarvis LandryCLE,5.2,61.7,0.3,0.2,1.0,0.0,0.0,7.8,CLE,1,WR
Mecole HardmanKC,3.7,51.8,0.4,0.3,2.5,0.0,0.0,7.7,KC,1,WR
Marquez CallawayNO,4.3,56.1,0.3,0.1,0.7,0.0,0.0,7.6,NO,1,WR
Courtland SuttonDEN,4.2,60.0,0.2,0.1,0.6,0.0,0.0,7.4,DEN,1,WR
Sterling ShepardNYG,4.9,51.3,0.3,0.3,2.2,0.0,0.0,7.3,NYG,1,WR
Chase ClaypoolPIT,4.3,55.2,0.2,0.5,2.3,0.0,0.0,7.2,PIT,1,WR
Mike WilliamsLAC,3.4,51.7,0.3,0.0,0.1,0.0,0.0,7.1,LAC,1,WR
Ja'Marr ChaseCIN,4.2,56.8,0.2,0.1,0.5,0.0,0.0,7.0,CIN,1,WR
Michael GallupDAL,3.8,56.5,0.2,0.0,0.0,0.0,0.0,6.8,DAL,1,WR
Emmanuel SandersBUF,3.7,44.5,0.3,0.1,0.4,0.0,0.0,6.6,BUF,1,WR
Jaylen WaddleMIA,3.9,54.2,0.2,0.2,1.4,0.0,0.1,6.6,MIA,1,WR
Russell GageATL,4.6,51.1,0.2,0.1,0.5,0.0,0.0,6.4,ATL,1,WR
Elijah MooreNYJ,4.3,52.0,0.2,0.1,0.7,0.0,0.0,6.3,NYJ,1,WR
Cole BeasleyBUF,4.1,48.0,0.2,0.0,0.0,0.0,0.0,6.1,BUF,1,WR
Nelson AgholorNE,3.4,48.2,0.2,0.0,0.4,0.0,0.0,6.0,NE,1,WR
Randall CobbGB,3.2,38.1,0.3,0.1,0.3,0.0,0.0,5.8,GB,1,WR
Darnell MooneyCHI,4.3,46.5,0.2,0.2,1.0,0.0,0.0,5.7,CHI,1,WR
Jalen ReagorPHI,3.3,46.6,0.2,0.2,1.1,0.0,0.0,5.7,PHI,1,WR
Christian KirkARI,3.5,40.9,0.2,0.3,1.8,0.0,0.0,5.5,ARI,1,WR
DeSean JacksonLV,2.8,41.3,0.2,0.2,1.2,0.0,0.0,5.4,LV,1,WR
Terrace Marshall Jr.CAR,3.3,42.7,0.2,0.0,0.3,0.0,0.0,5.3,CAR,1,WR
A.J. GreenARI,3.4,41.6,0.2,0.0,0.0,0.0,0.0,5.2,ARI,1,WR
Parris CampbellIND,3.4,41.1,0.1,0.2,1.7,0.0,0.0,5.1,IND,1,WR
Sammy WatkinsBAL,3.1,41.0,0.2,0.1,0.6,0.0,0.0,5.0,BAL,1,WR
Zach PascalIND,2.8,38.0,0.2,0.0,0.1,0.0,0.0,5.0,IND,1,WR
Darius SlaytonNYG,2.8,38.1,0.2,0.1,0.1,0.0,0.0,4.8,NYG,1,WR
Chris ConleyHOU,2.8,37.3,0.2,0.0,0.2,0.0,0.0,4.7,HOU,1,WR
Gabriel DavisBUF,2.4,37.0,0.2,0.0,0.1,0.0,0.0,4.7,BUF,1,WR
Rondale MooreARI,3.1,37.2,0.1,0.5,2.9,0.0,0.1,4.7,ARI,1,WR
Adam HumphriesWAS,3.3,35.7,0.1,0.0,0.1,0.0,0.0,4.5,WAS,1,WR
Marquez Valdes-ScantlingGB,2.0,34.5,0.2,0.1,0.7,0.0,0.0,4.4,ScantlingGB,1,WR
Hunter RenfrowLV,3.4,36.7,0.1,0.0,0.0,0.0,0.0,4.4,LV,1,WR
Amon-Ra St. BrownDET,3.2,36.8,0.1,0.0,0.1,0.0,0.0,4.4,DET,1,WR
Deonte HartyNO,2.8,33.2,0.1,0.2,2.0,0.0,0.0,4.3,NO,1,WR
Nico CollinsHOU,2.6,33.5,0.2,0.0,0.2,0.0,0.0,4.2,HOU,1,WR
Bryan EdwardsLV,2.7,34.9,0.1,0.0,0.1,0.0,0.0,4.2,LV,1,WR
Cordarrelle PattersonATL,1.3,12.4,0.1,4.8,18.5,0.1,0.1,4.1,ATL,1,WR
Kendrick BourneNE,2.5,31.7,0.1,0.0,0.0,0.0,0.0,4.0,NE,1,WR
Josh ReynoldsDET,2.8,33.4,0.1,0.0,0.0,0.0,0.0,4.0,DET,1,WR
Denzel MimsNYJ,2.6,32.1,0.1,0.0,0.0,0.0,0.0,3.9,NYJ,1,WR
Allen LazardGB,2.3,30.4,0.1,0.1,0.8,0.0,0.0,3.9,GB,1,WR
Quintez CephusDET,2.4,31.5,0.1,0.0,0.0,0.0,0.0,3.8,DET,1,WR
KJ HamlerDEN,2.1,26.3,0.1,0.7,3.4,0.0,0.0,3.5,DEN,1,WR
Rashard HigginsCLE,1.8,27.0,0.1,0.0,0.0,0.0,0.0,3.5,CLE,1,WR
Donovan Peoples-JonesCLE,2.0,28.5,0.1,0.0,0.1,0.0,0.0,3.5,JonesCLE,1,WR
Albert WilsonMIA,2.2,25.4,0.1,0.2,1.3,0.0,0.0,3.4,MIA,1,WR
Tim PatrickDEN,2.0,25.9,0.1,0.0,0.0,0.0,0.0,3.3,DEN,1,WR
Demarcus RobinsonKC,2.0,24.7,0.1,0.0,0.0,0.0,0.0,3.2,KC,1,WR
Dyami BrownWAS,1.8,26.4,0.1,0.0,0.1,0.0,0.0,3.2,WAS,1,WR
Quez WatkinsPHI,1.9,25.3,0.1,0.0,0.1,0.0,0.0,3.1,PHI,1,WR
Damiere ByrdCHI,2.4,26.3,0.1,0.1,0.3,0.0,0.0,3.1,CHI,1,WR
Olamide ZaccheausATL,1.7,23.6,0.1,0.0,0.1,0.0,0.0,3.1,ATL,1,WR
Travis FulghamDEN,1.7,23.3,0.1,0.0,0.0,0.0,0.0,3.0,DEN,1,WR
D'Wayne EskridgeSEA,2.0,23.2,0.1,0.1,0.4,0.0,0.0,3.0,SEA,1,WR
Lil'Jordan HumphreyNO,1.8,23.4,0.1,0.1,0.9,0.0,0.0,3.0,NO,1,WR
Van JeffersonLAR,1.8,21.6,0.1,0.1,0.2,0.0,0.0,3.0,LAR,1,WR
Danny AmendolaHOU,1.9,22.7,0.1,0.0,0.2,0.0,0.0,3.0,HOU,1,WR
Jalen GuytonLAC,1.6,23.7,0.1,0.1,0.4,0.0,0.0,2.9,LAC,1,WR
James WashingtonPIT,1.7,21.9,0.1,0.0,0.0,0.0,0.0,2.8,PIT,1,WR
Mohamed Sanu Sr.SF,1.8,20.8,0.1,0.1,0.4,0.0,0.0,2.7,SF,1,WR
Kalif RaymondDET,1.6,20.1,0.1,0.0,0.0,0.0,0.0,2.3,DET,1,WR
Auden TateCIN,1.4,18.2,0.1,0.0,0.0,0.0,0.0,2.3,CIN,1,WR
Cam SimsWAS,1.3,17.8,0.1,0.1,0.3,0.0,0.0,2.3,WAS,1,WR
Scotty MillerTB,1.2,16.4,0.1,0.2,1.1,0.0,0.0,2.3,TB,1,WR
Ty MontgomeryNO,1.4,14.3,0.1,0.5,2.2,0.0,0.0,2.2,NO,1,WR
Juwan JohnsonNO,1.2,15.2,0.1,0.0,0.0,0.0,0.0,2.1,NO,1,WR
Joshua PalmerLAC,1.4,16.5,0.1,0.0,0.3,0.0,0.0,2.1,LAC,1,WR
Freddie SwainSEA,1.3,16.3,0.1,0.0,0.0,0.0,0.0,2.1,SEA,1,WR
Byron PringleKC,1.3,16.9,0.1,0.0,0.0,0.0,0.0,2.1,KC,1,WR
Braxton BerriosNYJ,1.3,13.8,0.1,0.1,0.7,0.0,0.0,2.0,NYJ,1,WR
Devin DuvernayBAL,1.2,16.2,0.1,0.1,0.8,0.0,0.0,2.0,BAL,1,WR
Tyron JohnsonLV,0.9,14.3,0.1,0.0,0.3,0.0,0.0,2.0,LV,1,WR
Kadarius ToneyNYG,1.1,13.2,0.1,0.4,2.1,0.0,0.0,1.9,NYG,1,WR
Racey McMathTEN,1.0,12.7,0.1,0.0,0.3,0.0,0.0,1.8,MathTEN,1,WR
Keke CouteeIND,1.1,13.7,0.1,0.0,0.0,0.0,0.0,1.8,IND,1,WR
Ihmir Smith-MarsetteMIN,1.0,12.0,0.1,0.0,0.1,0.0,0.0,1.7,MarsetteMIN,1,WR
Greg WardPHI,1.2,12.2,0.1,0.1,0.1,0.0,0.0,1.7,PHI,1,WR
Tylan WallaceBAL,1.0,11.5,0.1,0.0,0.2,0.0,0.0,1.7,BAL,1,WR
Alex EricksonCAR,0.8,9.5,0.1,0.0,1.6,0.0,0.0,1.5,CAR,1,WR
Anthony SchwartzCLE,0.8,10.0,0.1,0.0,0.1,0.0,0.0,1.4,CLE,1,WR
Jamal AgnewJAC,0.7,8.4,0.1,0.4,2.1,0.0,0.0,1.4,JAC,1,WR
Isaiah McKenzieBUF,0.7,7.7,0.1,0.4,2.1,0.0,0.0,1.4,KenzieBUF,1,WR
Marquise GoodwinCHI,0.7,10.5,0.0,0.0,0.0,0.0,0.0,1.3,CHI,1,WR
Demetric FeltonCLE,0.6,4.3,0.0,0.0,5.2,0.0,0.0,1.3,CLE,1,WR
Richie James Jr.SF,0.7,10.0,0.1,0.0,0.0,0.0,0.0,1.3,SF,1,WR
Jauan JenningsSF,0.7,8.2,0.1,0.0,0.2,0.0,0.0,1.3,SF,1,WR
K.J. OsbornMIN,0.7,10.4,0.1,0.0,0.2,0.0,0.0,1.3,MIN,1,WR
Amari RodgersGB,0.8,8.9,0.1,0.1,0.5,0.0,0.0,1.3,GB,1,WR
Tutu AtwellLAR,0.7,8.5,0.1,0.0,0.1,0.0,0.0,1.2,LAR,1,WR
Dede WestbrookMIN,0.9,9.1,0.1,0.0,0.2,0.0,0.0,1.2,MIN,1,WR
Dax MilneWAS,0.7,8.8,0.0,0.0,0.2,0.0,0.0,1.1,WAS,1,WR
Collin JohnsonNYG,0.8,8.6,0.0,0.0,0.0,0.0,0.0,1.1,NYG,1,WR
Andy IsabellaARI,0.6,7.7,0.0,0.0,0.0,0.0,0.0,1.1,ARI,1,WR
Javon WimsLV,0.8,8.1,0.0,0.0,0.0,0.0,0.0,1.1,LV,1,WR
Cedrick Wilson Jr.DAL,0.7,7.9,0.0,0.0,0.1,0.0,0.0,1.0,DAL,1,WR
Chris MooreHOU,0.6,7.3,0.0,0.0,0.0,0.0,0.0,1.0,HOU,1,WR
Trinity BensonDET,0.6,7.5,0.0,0.0,0.1,0.0,0.0,1.0,DET,1,WR
Phillip Dorsett IIHOU,0.6,6.8,0.0,0.0,0.0,0.0,0.0,1.0,IHOU,1,WR
Trent SherfieldSF,0.6,7.6,0.0,0.0,0.0,0.0,0.0,0.9,SF,1,WR
Christian BlakeATL,0.5,6.9,0.0,0.0,0.0,0.0,0.0,0.9,ATL,1,WR
Tavon AustinJAC,0.7,5.7,0.1,0.0,0.0,0.0,0.0,0.9,JAC,1,WR
Jeff SmithNYJ,0.5,6.6,0.0,0.0,0.0,0.0,0.0,0.8,NYJ,1,WR
Zay JonesLV,0.5,5.6,0.0,0.0,0.0,0.0,0.0,0.8,LV,1,WR
Simi FehokoDAL,0.5,6.0,0.0,0.0,0.1,0.0,0.0,0.8,DAL,1,WR
Gunner OlszewskiNE,0.4,5.0,0.0,0.2,0.9,0.0,0.0,0.8,NE,1,WR
Chester RogersTEN,0.5,5.5,0.0,0.0,0.1,0.0,0.0,0.7,TEN,1,WR
Dezmon PatmonIND,0.7,7.0,0.0,0.0,0.0,0.0,0.0,0.7,IND,1,WR
Stanley Morgan Jr.CIN,0.4,4.8,0.0,0.0,0.0,0.0,0.0,0.7,CIN,1,WR
Mike StrachanIND,0.4,5.6,0.0,0.0,0.1,0.0,0.0,0.7,IND,1,WR
Diontae SpencerDEN,0.4,4.4,0.0,0.2,1.4,0.0,0.0,0.7,DEN,1,WR
Nick Westbrook-IkhineTEN,0.4,4.9,0.0,0.0,0.0,0.0,0.0,0.7,IkhineTEN,1,WR
Isaiah FordMIA,0.5,4.7,0.0,0.0,0.0,0.0,0.0,0.7,MIA,1,WR
Ray-Ray McCloudPIT,0.5,4.3,0.0,0.1,0.6,0.0,0.0,0.6,CloudPIT,1,WR
Steven Sims Jr.PIT,0.3,4.3,0.0,0.0,0.0,0.0,0.0,0.6,PIT,1,WR
Tyler JohnsonTB,0.3,4.4,0.0,0.0,0.0,0.0,0.0,0.5,TB,1,WR
Marcus JohnsonTEN,0.4,4.7,0.0,0.0,0.0,0.0,0.0,0.5,TEN,1,WR
DeAndre CarterWAS,0.3,4.0,0.0,0.0,0.3,0.0,0.0,0.5,WAS,1,WR
Tajae SharpeATL,0.3,4.0,0.0,0.0,0.0,0.0,0.0,0.5,ATL,1,WR
James Proche IIBAL,0.4,4.3,0.0,0.0,0.1,0.0,0.0,0.5,IBAL,1,WR
J.J. Arcega-WhitesidePHI,0.3,4.4,0.0,0.0,0.0,0.0,0.0,0.5,WhitesidePHI,1,WR
Jaydon MickensJAC,0.3,3.8,0.0,0.0,0.1,0.0,0.0,0.5,JAC,1,WR
Mack HollinsMIA,0.3,3.9,0.0,0.0,0.0,0.0,0.0,0.5,MIA,1,WR
KhaDarel HodgeDET,0.4,4.5,0.0,0.0,0.0,0.0,0.0,0.5,DET,1,WR
Antonio Gandy-GoldenWAS,0.2,3.3,0.0,0.0,0.0,0.0,0.0,0.4,GoldenWAS,1,WR
KeeSean JohnsonSF,0.3,3.3,0.0,0.0,0.0,0.0,0.0,0.4,SF,1,WR
Marquez StevensonBUF,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.4,BUF,1,WR
Daurice FountainKC,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.4,KC,1,WR
Greg DortchARI,0.2,2.8,0.0,0.0,0.0,0.0,0.0,0.4,ARI,1,WR
Jake KumerowBUF,0.2,3.2,0.0,0.0,0.1,0.0,0.0,0.4,BUF,1,WR
Ashton DulinIND,0.2,3.0,0.0,0.1,0.3,0.0,0.0,0.4,IND,1,WR
Trent TaylorCIN,0.2,2.5,0.0,0.0,0.0,0.0,0.0,0.4,CIN,1,WR
Cameron BatsonTEN,0.3,2.7,0.0,0.0,0.0,0.0,0.0,0.4,TEN,1,WR
Allen HurnsMIA,0.2,2.4,0.0,0.0,0.0,0.0,0.0,0.4,MIA,1,WR
Penny HartSEA,0.2,2.4,0.0,0.0,0.3,0.0,0.0,0.4,SEA,1,WR
Mike ThomasCIN,0.1,2.5,0.0,0.0,0.0,0.0,0.0,0.4,CIN,1,WR
Malik TaylorGB,0.2,2.9,0.0,0.1,0.3,0.0,0.0,0.3,GB,1,WR
C.J. BoardNYG,0.1,2.5,0.0,0.0,0.0,0.0,0.0,0.3,NYG,1,WR
Brandon ZylstraCAR,0.2,2.3,0.0,0.0,0.1,0.0,0.0,0.3,CAR,1,WR
Tom KennedyDET,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.3,DET,1,WR
Andre RobertsLAC,0.2,2.2,0.0,0.1,0.5,0.0,0.0,0.3,LAC,1,WR
Matthew SlaterNE,0.0,2.2,0.0,0.0,0.2,0.0,0.0,0.3,NE,1,WR
Terry GodwinJAC,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.2,JAC,1,WR
Brandon PowellLAR,0.1,1.2,0.0,0.0,0.0,0.0,0.0,0.2,LAR,1,WR
Travis BenjaminSF,0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.2,SF,1,WR
Nsimba WebsterCHI,0.1,1.4,0.0,0.0,0.0,0.0,0.0,0.2,CHI,1,WR
Equanimeous St. BrownGB,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.1,GB,1,WR
Marcus KempKC,0.1,1.2,0.0,0.0,0.0,0.0,0.0,0.1,KC,1,WR
Dan ChisenaMIN,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.1,MIN,1,WR
Kendall HintonDEN,0.1,0.7,0.0,0.1,0.4,0.0,0.0,0.1,DEN,1,WR
Frank DarbyATL,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.1,ATL,1,WR
Joe ReedLAC,0.1,0.5,0.0,0.1,0.3,0.0,0.0,0.1,LAC,1,WR
Matt ColeSEA,0.1,0.5,0.0,0.1,0.2,0.0,0.0,0.1,SEA,1,WR
DeMichael HarrisIND,0.0,0.5,0.0,0.1,0.3,0.0,0.0,0.1,IND,1,WR
Malik TurnerDAL,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,DAL,1,WR
Kelvin HarmonWAS,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,WAS,1,WR
John HightowerPHI,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,PHI,1,WR
Isaac WhitneyARI,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,ARI,1,WR
Gehrig DieterKC,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,KC,1,WR
Vyncint SmithTB,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,TB,1,WR
Trenton IrwinCIN,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,CIN,1,WR
Jake LampmanNO,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,NO,1,WR
Isaiah CoulterCHI,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,CHI,1,WR
Robert FosterDAL,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,DAL,1,WR
John UrsuaSEA,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,SEA,1,WR
Cyril Grayson Jr.TB,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,TB,1,WR
River CracraftMIA,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,MIA,1,WR
Jason Moore Jr.LAC,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,LAC,1,WR
Lawrence CagerNYJ,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,NYJ,1,WR
Chad HansenATL,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,ATL,1,WR
Kevin WhiteNO,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,NO,1,WR
Tanner GentryBUF,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,BUF,1,WR
Dante PettisNYG,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,NYG,1,WR
Jordan MatthewsSF,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,SF,1,WR
Laquon TreadwellJAC,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,JAC,1,WR
Ja'Marcus BradleyCLE,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,CLE,1,WR
Austin MackSF,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,SF,1,WR
Tyrie ClevelandDEN,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,DEN,1,WR
Cody HollisterTEN,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,TEN,1,WR
Ryan SwitzerCLE,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,CLE,1,WR
John RossNYG,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,NYG,1,WR
Seth WilliamsDEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,1,WR
Ben SkowronekLAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,1,WR
